"nt","md","name","eq","way","ec","ko","rn","symbol","map","mdk"
"Fermentation of glucose","Hydrogen formation","formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-], iron hydrogenase HydA2 [EC:1.12.7.-], FeS-containing electron transfer protein","Formate + 2 H+ <=> CO2 + Hydrogen","Forward","1.17.98.5","K22015, K25123, K25124","R12754","fdhF, hydA2, hycB","map00720","M00377"
"Fermentation of glucose","Hydrogen formation","formate dehydrogenase (hydrogenase) / hydrogen-dependent carbon dioxide reductase [EC:1.17.98.4 1.17.98.5]","Formate + 2 H+ <=> CO2 + Hydrogen","Forward","1.17.98.4","K22015","R09481","fdhF",NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2], H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2], H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2]","2 Reduced ferredoxin + NAD+ + H+ + Na+[side 1] <=> 2 Oxidized ferredoxin + NADH + Na+[side 2]","Bidirectional","7.2.1.2","K03614, K03615, K03616","R7.2.1.2","rnfD, rnfC, rnfB",NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","[2Fe-2S]-ferredoxin:NAD+ oxidoreductase","2 Reduced ferredoxin + NAD+ + H+ <=> 2 Oxidized ferredoxin + NADH","Bidirectional","1.18.1.3, 1.18.1.7",NA,"R05875",NA,NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","ferredoxin--NADP+ reductase [EC:1.18.1.2]","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","1.18.1.2","K02641","R01195","petH",NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","1.18.1.2","K00528","R01195","fpr",NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","1.18.1.2","K21567","R01195","fnr",NA,NA
"Fermentation of glucose","NADH reduction by ferredoxin","NAD(P)+ transhydrogenase (ferredoxin);","NADH + H+ + 2 NADP+ + 2 Reduced ferredoxin <=> NAD+ + 2 NADPH + 2 Oxidized ferredoxin","Bidirectional","1.6.1.4",NA,"R1.6.1.4",NA,NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+[side 2] <=> Ubiquinol + NAD+ + 4 H+[side 2]","Bidirectional","7.1.1.2","K05574, K05582, K05581, K05579, K05572, K05580, K05578, K05576, K05577, K05575, K05573","R7.1.1.2","ndhC, ndhK, ndhJ, ndhH, ndhA, ndhI, ndhG, ndhE, ndhF, ndhD, ndhB","map00190","M00145"
"Fermentation of glucose","Quinone reduction by NADH","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10, NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13","Ubiquinone + NADH + H+ + 4 H+[side 2] <=> Ubiquinol + NAD+ + 4 H+[side 2]","Bidirectional","7.1.1.2","K03945, K03946, K03947, K03948, K03949, K03950, K03951, K03952, K03953, K03954, K03955, K03956, K11352, K11353","R7.1.1.2","NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFA11, NDUFA12, NDUFA13","map00190","M00146"
