"nt","md","name","eq","way","ec","ko","rn","symbol","map","mdk"
"Fermentation of glucose","Propionate formation","isobutyryl-CoA mutase [EC:5.4.99.13]","(R)-Methylmalonyl-CoA <=> Succinyl-CoA","Bidirectional","5.4.99.2","K11942","R00833","icmF",NA,NA
"Fermentation of glucose","Propionate formation","methylmalonyl-CoA mutase [EC:5.4.99.2]","(R)-Methylmalonyl-CoA <=> Succinyl-CoA","Bidirectional","5.4.99.2","K01847","R00833","MUT","map00630, map00640, map00720","M00741, M00376"
"Fermentation of glucose","Propionate formation","methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2], methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]","(R)-Methylmalonyl-CoA <=> Succinyl-CoA","Bidirectional","5.4.99.2","K01848, K01849","R00833","E5.4.99.2A, E5.4.99.2B","map00630, map00640, map00720","M00741, M00375, M00376"
"Fermentation of glucose","Propionate formation","methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]","(R)-Methylmalonyl-CoA <=> (S)-Methylmalonyl-CoA","Bidirectional","5.1.99.1","K05606","R02765","MCEE","map00630, map00640, map00720","M00741, M00375, M00376"
"Fermentation of glucose","Propionate formation","ethylmalonyl-CoA/methylmalonyl-CoA decarboxylase [EC:4.1.1.94 4.1.1.-]","(S)-Methylmalonyl-CoA <=> Propanoyl-CoA + CO2","Bidirectional","4.1.1.A","K18426","R00923","ECHDC1","map00640",NA
"Fermentation of glucose","Propionate formation","methylmalonyl-CoA decarboxylase [EC:4.1.1.-]","(S)-Methylmalonyl-CoA <=> Propanoyl-CoA + CO2","Bidirectional","4.1.1.A","K11264","R00923","scpB","map00640",NA
"Fermentation of glucose","Propionate formation","methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]","(S)-Methylmalonyl-CoA + Na+[side 1] + H+[side 2] <=> Propanoyl-CoA + CO2 + Na+[side 2]","Bidirectional","7.2.4.3","K01604","R7.2.4.3","mmdA",NA,NA
"Fermentation of glucose","Propionate formation","phosphate acetyltransferase [EC:2.3.1.8]","Propanoyl-CoA + Orthophosphate <=> Propanoyl phosphate + CoA","Bidirectional","2.3.1.8, 2.3.1.222","K00625","R00921","pta","map00640",NA
"Fermentation of glucose","Propionate formation","phosphate acetyltransferase [EC:2.3.1.8]","Propanoyl-CoA + Orthophosphate <=> Propanoyl phosphate + CoA","Bidirectional","2.3.1.8, 2.3.1.222","K13788","R00921","pta","map00640",NA
"Fermentation of glucose","Propionate formation","phosphate propanoyltransferase [EC:2.3.1.222]","Propanoyl-CoA + Orthophosphate <=> Propanoyl phosphate + CoA","Bidirectional","2.3.1.8, 2.3.1.222","K13923","R00921","pduL","map00640",NA
"Fermentation of glucose","Propionate formation","putative phosphotransacetylase [EC:2.3.1.8]","Propanoyl-CoA + Orthophosphate <=> Propanoyl phosphate + CoA","Bidirectional","2.3.1.8, 2.3.1.222","K15024","R00921","K15024","map00640",NA
"Fermentation of glucose","Propionate formation","acetate kinase [EC:2.7.2.1]","ATP + Propanoate <=> ADP + Propanoyl phosphate","Bidirectional","2.7.2.1, 2.7.2.15","K00925","R01353","ackA","map00640",NA
"Fermentation of glucose","Propionate formation","propionate kinase [EC:2.7.2.15]","ATP + Propanoate <=> ADP + Propanoyl phosphate","Bidirectional","2.7.2.1, 2.7.2.15","K00932","R01353","tdcD","map00640",NA
"Fermentation of glucose","Propionate formation","propionate kinase [EC:2.7.2.15]","ATP + Propanoate <=> ADP + Propanoyl phosphate","Bidirectional","2.7.2.1, 2.7.2.15","K19697","R01353","pduW","map00640",NA
"Fermentation of glucose","Propionate formation","acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]","ATP + Propanoate + CoA <=> ADP + Orthophosphate + Propanoyl-CoA","Bidirectional","6.2.1.13","K24012","R00920","acdAB","map00640",NA
"Fermentation of glucose","Propionate formation","acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13], acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]","ATP + Propanoate + CoA <=> ADP + Orthophosphate + Propanoyl-CoA","Bidirectional","6.2.1.13","K01905, K22224","R00920","acdA, acdB","map00640",NA
"Fermentation of glucose","Butyrate formation","acetyl-CoA C-acetyltransferase [EC:2.3.1.9]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K00626","R00238","ACAT","map00620, map00630, map00650, map00720","M00373, M00088, M00374, M00375"
"Fermentation of glucose","Butyrate formation","acetyl-CoA acyltransferase 1 [EC:2.3.1.16]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K07513","R00238","ACAA1","map00620, map00630, map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K07508","R00238","ACAA2","map00620, map00630, map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","acetyl-CoA acyltransferase [EC:2.3.1.16]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K00632","R00238","fadA","map00620, map00630, map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","acetyl-CoA acyltransferase [EC:2.3.1.16]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K07509","R00238","HADHB","map00620, map00630, map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]","(S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+","Bidirectional","1.1.1.157","K00074","R01976","paaH","map00650",NA
"Fermentation of glucose","Butyrate formation","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K01825","R03026","fadB","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K01782","R03026","fadJ","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K07514","R03026","EHHADH","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K15016","R03026","K15016","map00650, map00720","M00374, M00375"
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K07515","R03026","HADHA","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase [EC:4.2.1.17]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K01692","R03026","paaF","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase [EC:4.2.1.17]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K01715","R03026","crt","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase [EC:4.2.1.17]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K07511","R03026","ECHS1","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase [EC:4.2.1.17]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K13767","R03026","fadB","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O","Bidirectional","4.2.1.17","K10527","R03026","MFP2","map00650, map00720",NA
"Fermentation of glucose","Butyrate formation","acyl-CoA dehydrogenase [EC:1.3.8.7]","Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin","Bidirectional","1.3.1.109","K00249","R11675","ACADM","map00650",NA
"Fermentation of glucose","Butyrate formation","acyl-CoA dehydrogenase [EC:1.3.99.-]","Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin","Bidirectional","1.3.1.109","K06445","R11675","fadE","map00650",NA
"Fermentation of glucose","Butyrate formation","acyl-CoA oxidase [EC:1.3.3.6]","Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin","Bidirectional","1.3.1.109","K00232","R11675","E1.3.3.6","map00650",NA
"Fermentation of glucose","Butyrate formation","butyryl-CoA dehydrogenase [EC:1.3.8.1]","Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin","Bidirectional","1.3.1.109","K00248","R11675","ACADS","map00650",NA
"Fermentation of glucose","Butyrate formation","short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]","Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin","Bidirectional","1.3.1.109","K09478","R11675","ACADSB","map00650",NA
"Fermentation of glucose","Butyrate formation","acetate CoA-transferase [EC:2.8.3.8]","Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA","Bidirectional","2.8.3.8","K19709","R01179","ydiF","map00650",NA
"Fermentation of glucose","Butyrate formation","acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9], acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]","Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA","Bidirectional","2.8.3.8","K01034, K01035","R01179","atoD, atoA","map00650",NA
"Fermentation of glucose","Butyrate formation","phosphate butyryltransferase [EC:2.3.1.19]","Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate","Bidirectional","2.3.1.19","K00634","R01174","ptb","map00650",NA
"Fermentation of glucose","Butyrate formation","butyrate kinase [EC:2.7.2.7]","ATP + Butanoic acid <=> ADP + Butanoylphosphate","Bidirectional","2.7.2.7","K00929","R01688","buk","map00650",NA
"Fermentation of glucose","Hydrogen formation","ferredoxin hydrogenase [EC:1.12.7.2]","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Forward","1.12.7.2","K00532","R00019","E1.12.7.2",NA,NA
"Fermentation of glucose","Hydrogen formation","ferredoxin hydrogenase large subunit [EC:1.12.7.2], ferredoxin hydrogenase small subunit [EC:1.12.7.2], ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Forward","1.12.7.2","K00533, K00534, K06441","R00019","E1.12.7.2L, E1.12.7.2S, E1.12.7.2G",NA,NA
"Fermentation of glucose","Hydrogen formation","membrane-bound hydrogenase subunit alpha [EC:1.12.7.2], membrane-bound hydrogenase subunit beta [EC:1.12.7.2], membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Forward","1.12.7.2","K18016, K18017, K18023","R00019","mbhL, mbhK, mbhJ",NA,NA
"Fermentation of glucose","Hydrogen formation","iron-hydrogenase subunit alpha [EC:1.12.1.4], iron-hydrogenase subunit beta [EC:1.12.1.4], iron-hydrogenase subunit gamma [EC:1.12.1.4]","2 Hydrogen + NAD+ + 2 Oxidized ferredoxin <=> 5 H+ + NADH + 2 Reduced ferredoxin","Reverse","1.12.1.4","K17997, K17998, K17999","R09508","hydA, hydB, hydC",NA,NA
"Fermentation of glucose","Hydrogen formation","ech hydrogenase subunit A, ech hydrogenase subunit B, ech hydrogenase subunit C, ech hydrogenase subunit D, ech hydrogenase subunit E, ech hydrogenase subunit F","2 Reduced ferredoxin + 2 H+ + 2 H+[side 1] <=> Hydrogen + 2 Oxidized ferredoxin + 2 H+[side 2]","Forward","7.1.1.B","K14086, K14087, K14088, K14089, K14090, K14091","R7.1.1.B","echA, echB, echC, echD, echE, echF",NA,NA
