reference_network,default_substrates,default_products,selected_organisms,default_unbalanced_intermediates
Thiosulfate respiration (generic),Thiosulfate,Sulfite;Hydrogen sulfide,Salmonella enterica enterica,Quinone;Hydroquinone;H2O;H+
Iron respiration (generic),Fe3+,Fe2+,Shewanella oneidensis,Ferricytochrome c;Ferrocytochrome c;H2O;H+
Chlorate respiration (generic),Chloric acid,Chlorous acid;Cl-,Ideonella dechloratans,Ferricytochrome c;Ferrocytochrome c;H2O;H+;Oxygen
Selenate respiration (generic),Selenate,Selenite,Thauera selenatis;Sedimenticola selenatireducens,Ferricytochrome c;Ferrocytochrome c;H2O;H+
Fumarate respiration (generic),Fumarate,Succinate,Escherichia coli;Wolinella succinogenes,Ubiquinone;Ubiquinol;Quinone;Hydroquinone;Ferricytochrome c;Ferrocytochrome c;H2O;H+
Fumarate respiration of hydrogen,Hydrogen,Succinate,Escherichia coli;Wolinella succinogenes,H2O;H+;Fumarate
Trimethylamine N-oxide (TMAO) respiration (generic),Trimethylamine N-oxide,Trimethylamine,Escherichia coli,Ferricytochrome c;Ferrocytochrome c;H2O;H+
Trimethylamine N-oxide (TMAO) respiration of hydrogen,Hydrogen,Trimethylamine,Escherichia coli,H2O;H+;Trimethylamine N-oxide
Dimethyl sulfoxide (DMSO) respiration (generic),Dimethyl sulfoxide,Dimethyl sulfide,Escherichia coli,Quinone;Hydroquinone;H2O;H+
Dimethyl sulfoxide (DMSO) respiration of hydrogen,Hydrogen,Dimethyl sulfide,Escherichia coli,H2O;H+;Dimethyl sulfoxide
Organohalide respiration (generic),Tetrachloroethene;3-Chloro-4-hydroxyphenylacetate,"Trichloroethene;cis-1,2-Dichloroethene;trans-1,2-Dichloroethene;(4-Hydroxyphenyl)acetate;Cl-",Sulfurospirillum multivorans;Dehalobacter restrictus;Desulfitobacterium dehalogenans;Desulfitobacterium hafniense,Quinone;Hydroquinone;H2O;H+
Sulfur disproportionation,Sulfur,Sulfite;Hydrogen sulfide,Acidianus ambivalens,H2O;H+;Oxygen
Methanogenesis,Hydrogen;Formate;Acetate;Methanol;Methylamine;Propan-2-ol,Methane,Methanobrevibacter smithii;Methanosarcina mazei;Methanococcus maripaludis;Methanofollis liminatans,ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];CO2;Ammonia;Acetone
Acetogenesis,CO2,Acetate,Clostridium ljungdahlii;Acetobacterium woodii;Moorella thermoacetica,NAD+;NADH;NADP+;NADPH;Oxidized ferredoxin;Reduced ferredoxin;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Sodium cation;CO2;Hydrogen
Nitrogen fixation,Nitrogen,Ammonia,Clostridium pasteurianum;Azotobacter beijerinckii;Methanococcus maripaludis,Oxidized ferredoxin;Reduced ferredoxin;ATP;ADP;Orthophosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Hydrogen
Phototrophy,hn,ATP;NADPH;Oxygen;Sulfur,Rhodopseudomonas palustris;Rhodospirillum rubrum;Chlorobaculum tepidum;Halobacterium salinarum,Orthophosphate;H2O;H+;H+[side 2];ADP;NADP+;Hydrogen sulfide
Oxygenic photosynthesis,CO2,3-Phospho-D-glycerate,,ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;hn;Oxygen
All reactions,D-Glucose,Acetate;(S)-Lactate;(R)-Lactate;Ethanol;Succinate;Propanoate;Butanoic acid;Formate;Hydrogen;CO2,Escherichia coli;Lactiplantibacillus plantarum;Clostridium butyricum,NAD+;NADH;NADP+;NADPH;FAD;FADH2;Oxidized ferredoxin;Reduced ferredoxin;Ubiquinone;Ubiquinol;Quinone;Hydroquinone;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Hydrogen
Other,D-Glucose,Acetate;(S)-Lactate;(R)-Lactate;Ethanol;Succinate;Propanoate;Butanoic acid;Formate;Hydrogen;CO2,Escherichia coli;Lactiplantibacillus plantarum;Clostridium butyricum,NAD+;NADH;NADP+;NADPH;FAD;FADH2;Oxidized ferredoxin;Reduced ferredoxin;Ubiquinone;Ubiquinol;Quinone;Hydroquinone;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Hydrogen
