md,name,eq,way,ec,ko,rn,symbol,map,mdk
Methanogenesis with methanol,"[methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246 2.1.1.377], methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90], methanol corrinoid protein",Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O,Bidirectional,"2.1.1.90, 2.1.1.246","K14080, K04480, K14081",R09098,"mtaA, mtaB, mtaC",map00680,M00356
Methanogenesis with acetate,acetate kinase [EC:2.7.2.1],ATP + Acetate <=> ADP + Acetyl phosphate,Bidirectional,"2.7.2.1, 2.7.2.15",K00925,R00315,ackA,"map00620, map00680, map00720","M00579, M00357"
Methanogenesis with acetate,phosphate acetyltransferase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K00625,R00230,pta,"map00620, map00680, map00720","M00579, M00357"
Methanogenesis with acetate,phosphate acetyltransferase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K13788,R00230,pta,"map00620, map00680, map00720",NA
Methanogenesis with acetate,phosphotransacetylase,Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K04020,R00230,eutD,"map00620, map00680, map00720",NA
Methanogenesis with acetate,putative phosphotransacetylase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K15024,R00230,K15024,"map00620, map00680, map00720",NA
Methanogenesis with acetate,acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2],ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA,Bidirectional,6.2.1.1,K01913,R00235,AAE7,"map00010, map00630, map00680, map00720",NA
Methanogenesis with acetate,acetyl-CoA synthetase [EC:6.2.1.1],ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA,Bidirectional,6.2.1.1,K01895,R00235,ACSS1_2,"map00010, map00630, map00680, map00720",NA
Methanogenesis with acetate,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169], acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245], acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]","Acetyl-CoA + 5,6,7,8-Tetrahydromethanopterin <=> CoA + 5-Methyl-5,6,7,8-tetrahydromethanopterin + CO",Bidirectional,NA,"K00193, K00197, K00194",R09096,"cdhC, cdhE, cdhD",map00680,"M00357, M00422"
Methanogenesis with acetate,anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4],CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.2.7.4,K00198,R07157,cooS,"map00680, map00720",NA
Methanogenesis with methyamines,[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247],Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate,Bidirectional,"2.1.1.247, 2.1.1.248",K14082,R09998,mtbA,map00680,M00563
Methanogenesis with methyamines,monomethylamine corrinoid protein,Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate,Bidirectional,"2.1.1.247, 2.1.1.248",K16177,R09998,mtmC,map00680,M00563
Methanogenesis with methyamines,[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247],Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine,Bidirectional,"2.1.1.247, 2.1.1.249",K14082,R09999,mtbA,map00680,M00563
Methanogenesis with methyamines,dimethylamine corrinoid protein,Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine,Bidirectional,"2.1.1.247, 2.1.1.249",K16179,R09999,mtbC,map00680,M00563
Methanogenesis with methyamines,[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247],Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine,Bidirectional,"2.1.1.247, 2.1.1.250",K14082,R09124,mtbA,map00680,M00563
Methanogenesis with methyamines,trimethylamine corrinoid protein,Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine,Bidirectional,"2.1.1.247, 2.1.1.250",K14084,R09124,mttC,map00680,M00563
Methanogenesis with alcohols,secondary-alcohol dehydrogenase (coenzyme-F420) [EC:1.1.98.5],Propan-2-ol + Coenzyme F420 <=> Acetone + Reduced coenzyme F420,Forward,1.1.98.5,K21835,R1.1.98.5.A,adf,NA,NA
Methanogenesis with alcohols,secondary-alcohol dehydrogenase (coenzyme-F420) [EC:1.1.98.5],Butan-2-ol + Coenzyme F420 <=> Methyl ethyl ketone + Reduced coenzyme F420,Forward,1.1.98.5,K21835,R1.1.98.5.B,adf,NA,NA
Methanogenesis with alcohols,secondary-alcohol dehydrogenase (coenzyme-F420) [EC:1.1.98.5],Cyclopentanol + Coenzyme F420 <=> Cyclopentanone + Reduced coenzyme F420,Forward,1.1.98.5,K21835,R1.1.98.5.C,adf,NA,NA
Redox balance,NA,NADPH + NAD+ <=> NADP+ + NADH,Bidirectional,NA,NA,R00112,NA,NA,NA
