"","LPSN_ID","FAPROTAX2_Type_of_metabolism"
"7343","790662","aerobic_chemoheterotrophy;chemoheterotrophy"
"7344","777597","aerobic_chemoheterotrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"7345","777598","aerobic_chemoheterotrophy;chemoheterotrophy"
"7346","785415","nitrate_reduction"
"7347","792313","aromatic_compound_degradation"
"7348","788488","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7349","784163","aerobic_chemoheterotrophy;chemoheterotrophy"
"7350","777600","aerobic_chemoheterotrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"7351","791270","aerobic_chemoheterotrophy;chemoheterotrophy"
"7352","791444","aerobic_chemoheterotrophy;chemoheterotrophy"
"7353","789726","aerobic_chemoheterotrophy;chemoheterotrophy"
"7354","777601","aerobic_chemoheterotrophy;chemoheterotrophy"
"7355","777602","fermentation;aerobic_chemoheterotrophy;human_pathogens_all;mammal_gut;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7356","794554","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7357","793539","chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7358","793537","human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7359","786829","fermentation;obligate_anaerobes"
"7360","794117","gelatin_degradation;cellulolysis;xylanolysis;chemoheterotrophy"
"7361","796069","gelatin_degradation;chemoheterotrophy"
"7362","792924","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7363","791017","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7364","777603","gelatin_degradation;nitrate_reduction;chemoheterotrophy"
"7365","789151","chemoheterotrophy"
"7366","796045","gelatin_degradation;ureolysis;chemoheterotrophy;sulfur_reduction"
"7367","797576","gelatin_degradation;ureolysis;chemoheterotrophy"
"7368","796225","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7369","796203","fermentation;aerobic_chemoheterotrophy;plant_pathogen;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7370","796202","fermentation;aerobic_chemoheterotrophy;plant_pathogen;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7371","789978","fermentation;aerobic_chemoheterotrophy;plant_pathogen;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7372","786538","aerobic_chemoheterotrophy;chemoheterotrophy"
"7373","786537","aerobic_chemoheterotrophy;chemoheterotrophy"
"7374",NA,"invertebrate_parasites"
"7375","792746","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7376","794898","fermentation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7377","788056","gelatin_degradation;chemoheterotrophy"
"7378","788189","human_associated;chemoheterotrophy"
"7379","777607","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7380","788190","gelatin_degradation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7381","791367","gelatin_degradation;nitrate_reduction;chemoheterotrophy"
"7382","790400","fermentation;chemoheterotrophy;facultative_anaerobes"
"7383","788489","fermentation;nitrate_reduction;chemoheterotrophy"
"7384","791693","aerobic_chemoheterotrophy;invertebrate_parasites;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7385","791503","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7386","786758","gelatin_degradation;chemoheterotrophy"
"7387","787530","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7388","794202","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7389","786134","nitrate_denitrification;gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"7390","790330","nitrate_denitrification;nitrite_respiration;gelatin_degradation;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"7391","791126","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7392","789565","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7393","787645","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7394","777608","nitrite_denitrification;nitrite_respiration;gelatin_degradation;aerobic_chemoheterotrophy;nitrogen_respiration;chemoheterotrophy"
"7395","793849","gelatin_degradation;chemoheterotrophy"
"7396","794970","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7397","793852","aerobic_chemoheterotrophy;chemoheterotrophy"
"7398","793637","gelatin_degradation;chemoheterotrophy"
"7399","794136","gelatin_degradation;cellulolysis;nitrate_reduction;ureolysis;acetate_oxidation;chemoheterotrophy"
"7400","788640","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7401","790663","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7402","793444","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7403","788432","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7404","790614","chemoheterotrophy"
"7405","777609","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7406","777610","fermentation;aerobic_chemoheterotrophy;human_associated;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7407","777611","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;human_associated;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7408","792006","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7409","787306",NA
"7410","790760","xylanolysis;chemoheterotrophy"
"7411","789698","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7412","790955","aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;nitrate_reduction;chemoheterotrophy"
"7413","7503","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;alginate_degradation"
"7414","790613","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7415","793523","sulfur_respiration;gelatin_degradation;chemoheterotrophy;sulfur_reduction"
"7416","784164","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7417","795147",NA
"7418","788433","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7419","795130","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"7420","792553","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy"
"7421","794288","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7422","790048","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7423","791232","aerobic_chemoheterotrophy;aromatic_compound_degradation;acetate_oxidation;chemoheterotrophy"
"7424","794609","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;invertebrate_parasites;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7425","791233","chemoheterotrophy"
"7426","787682","aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7427","791889","nitrate_reduction"
"7428","791890",NA
"7429","786595","gelatin_degradation;chemoheterotrophy"
"7430",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"7431","792901","aerobic_chemoheterotrophy;chemoheterotrophy"
"7432","793099","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7433","795033","aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7434","786255","aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy;sulfur_reduction"
"7435","791237","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7436","792271","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7437","791127","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7438","793496","aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;acetate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7439","795003","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;sulfur_reduction"
"7440","786256","gelatin_degradation;aerobic_chemoheterotrophy;oil_bioremediation;plastic_degradation;ureolysis;chemoheterotrophy"
"7441","792018","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7442","793482","aerobic_chemoheterotrophy;chemoheterotrophy;pectin_degradation"
"7443","789872","aerobic_chemoheterotrophy;chemoheterotrophy"
"7444","790027","gelatin_degradation;aerobic_chemoheterotrophy;invertebrate_parasites;chemoheterotrophy"
"7445","790232","aerobic_chemoheterotrophy;human_associated;ureolysis;chemoheterotrophy"
"7446","790664","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7447","790233","aerobic_chemoheterotrophy;chemoheterotrophy"
"7448","791930","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7449","787930","aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy"
"7450","790231","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7451","786260","invertebrate_parasites;animal_parasites_or_symbionts;plastic_degradation"
"7452","791582","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy;pectin_degradation"
"7453","792338","aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_reduction;chemoheterotrophy"
"7454","788385","gelatin_degradation;xylanolysis;aerobic_chemoheterotrophy;plastic_degradation;chemoheterotrophy"
"7455",NA,"aerobic_chemoheterotrophy;chemoheterotrophy"
"7456","793310","fermentation;chemoheterotrophy"
"7457","790666",NA
"7458","790665","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7459","793969","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7460","793420","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7461","777619","chitinolysis;gelatin_degradation;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7462","777620","chitinolysis;gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;sulfur_reduction"
"7463","789420","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7464","792629","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;acetate_oxidation;chemoheterotrophy"
"7465","787211","chitinolysis;gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7466","794733","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7467",NA,"aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7468","777621","gelatin_degradation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7469","69403","chitinolysis;gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;sulfur_reduction"
"7470",NA,"gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7471","777622","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7472","777623","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7473","777624","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7474","784165","chitinolysis;gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy;sulfur_reduction"
"7475","794688","gelatin_degradation;chemoheterotrophy"
"7476","794680","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7477","793266","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7478","777626","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7479","777627","chitinolysis;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7480","793780","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7481","784167","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;chemoheterotrophy"
"7482","789421","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy"
"7483","793269","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7484","794103","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7485","792630","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;pectin_degradation"
"7486","786048","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7487","786049","aerobic_chemoheterotrophy;chemoheterotrophy"
"7488","793171","aerobic_chemoheterotrophy;chemoheterotrophy"
"7489","796228","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7490","791128","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7491","787792","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7492","791968","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7493","787853","gelatin_degradation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7494","800738","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7495","794859","gelatin_degradation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7496","789079","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_reduction;chemoheterotrophy"
"7497","793781","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;acetate_oxidation;chemoheterotrophy"
"7498","795306","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7499","788642","fermentation;aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"7500","792554","gelatin_degradation;cellulolysis;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7501","793982","gelatin_degradation;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"7502","787793","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7503","789045","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7504","777631","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7505","784169","intracellular_parasites"
"7506","790234","gelatin_degradation;fermentation;lactic_acid_fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7507","797865","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_reduction;chemoheterotrophy"
"7508","795157","aerobic_chemoheterotrophy;aromatic_compound_degradation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7509","777634","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7510","797867","gelatin_degradation;aerobic_chemoheterotrophy;human_associated;nitrate_reduction;ureolysis;chemoheterotrophy"
"7511","797868","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"7512","777632","aerobic_chemoheterotrophy;chemoheterotrophy"
"7513","784170","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7514","777633","aerobic_chemoheterotrophy;chemoheterotrophy"
"7515","777635","chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7516","784171","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7517","784172","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7518","777641","dark_sulfide_oxidation;dark_oxidation_of_sulfur_compounds;ureolysis;chemoheterotrophy"
"7519","794734","fermentation;lactic_acid_fermentation;alcohol_fermentation;human_associated;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7520","790580","sulfur_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy;sulfur_reduction"
"7521","790192","nitrogen_fixation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;chemoheterotrophy"
"7522",NA,"aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;photoheterotrophy;phototrophy;chemoheterotrophy"
"7523","794147","fermentation;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy;facultative_anaerobes"
"7524","777643","nitrite_denitrification;nitrogen_fixation;nitrite_respiration;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"7525",NA,NA
"7526","777644","nitrate_denitrification;nitrite_denitrification;nitrogen_fixation;nitrite_respiration;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;lactate_oxidation;chemoheterotrophy"
"7527","794148","nitrogen_fixation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7528","794149","chemoheterotrophy"
"7529","785811","nitrite_respiration;dark_sulfide_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;acetate_oxidation;lactate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7530","777645","fermentation;obligate_anaerobes"
"7531","798492","nitrate_reduction;facultative_anaerobes"
"7532","798494","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7533","798498","aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7534","798770","gelatin_degradation;nitrate_reduction;chemoheterotrophy"
"7535",NA,NA
"7536","798603","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7537","798608","obligate_anaerobes"
"7538","798614","fermentation;aerobic_chemoheterotrophy;human_associated;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7539","794823","fermentation;alcohol_fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7540","777651","nitrate_reduction;chemoheterotrophy"
"7541","777652","nitrate_reduction;chemoheterotrophy"
"7542","794201","aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"7543","777653","sulfur_respiration;respiration_of_sulfur_compounds;fermentation;ureolysis;chemoheterotrophy"
"7544","788490","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7545","14762","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7546","14763","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7547","14764","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7548","14765","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy"
"7549","14766","aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7550","795314","nitrogen_fixation;nitrate_reduction;facultative_anaerobes"
"7551","786641","nitrogen_fixation;nitrate_reduction;facultative_anaerobes"
"7552","793100","nitrogen_fixation;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7553","791626","nitrogen_fixation;gelatin_degradation;cellulolysis;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"7554","794079","facultative_anaerobes"
"7555","790053","fermentation;acetate_oxidation;lactate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7556","795375","gelatin_degradation;chemoheterotrophy"
"7557","5862","gelatin_degradation;xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"7558","790874","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7559","789331","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7560","784174","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7561","784175","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7562","777655","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7563","784176","fermentation;aerobic_chemoheterotrophy;mammal_gut;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7564","784177","fermentation;aerobic_chemoheterotrophy;mammal_gut;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7565","791129",NA
"7566","5836","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy"
"7567","787931","aerobic_chemoheterotrophy;nitrate_reduction;lactate_oxidation;chemoheterotrophy"
"7568","777663","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7569","787380","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7570","794806","aerobic_chemoheterotrophy;chemoheterotrophy"
"7571","793398","aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;nitrate_reduction;chemoheterotrophy"
"7572","790954","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7573","796313","aerobic_chemoheterotrophy;chemoheterotrophy"
"7574","777664","aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy"
"7575","793524","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7576","787308","aerobic_chemoheterotrophy;chemoheterotrophy;alginate_degradation"
"7577","67957","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7578","797938","aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy"
"7579","794644","aerobic_chemoheterotrophy;chemoheterotrophy"
"7580","7596","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy"
"7581","794055","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7582","777665","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;alginate_degradation"
"7583","796051","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7584","787053","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"7585","777666","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7586","792931","aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7587","788334","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"7588","792411","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"7589","777667","aerobic_chemoheterotrophy;chemoheterotrophy"
"7590","792932","aerobic_chemoheterotrophy;chemoheterotrophy"
"7591","785932","fermentation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7592","785933","aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"7593","777668","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7594","777669","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7595","777670","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7596","777671","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7597","777672","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7598","786392","anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;acetate_oxidation;chemoheterotrophy"
"7599",NA,"nitrogen_fixation;dark_sulfide_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;lactate_oxidation;chemoheterotrophy"
"7600","777673","nitrogen_fixation;anoxygenic_photoautotrophy_H2_oxidizing;anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;phototrophy"
"7601","777675","nitrogen_fixation;anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;ureolysis;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"7602","777676","anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;obligate_anaerobes"
"7603","789784","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy"
"7604","17447","sulfate_respiration;sulfur_respiration;sulfite_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;dark_hydrogen_oxidation;fermentation;reductive_acetogenesis;lactate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"7605","17479","sulfate_respiration;sulfite_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;dark_hydrogen_oxidation;fermentation;fumarate_respiration;reductive_acetogenesis;lactate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"7606","17448","sulfate_respiration;sulfur_respiration;sulfite_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;dark_hydrogen_oxidation;fermentation;reductive_acetogenesis;lactate_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
