"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address","Domain","Phylum","Class","Order","Family","Genus"
"Acetobacter","conturbans",NA,"LMG 1627; NCIMB 8945","VP; sp. nov.; validly published under the ICNP; correct name",14543,"https://lpsn.dsmz.de/species/acetobacter-conturbans","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","estunensis",NA,"ATCC 23753; DSM 4493; IFO 13751; JCM 21172; LMG 1626; NBRC 13751; NCIB 8935; NCIMB 8935","VL; comb. nov.; validly published under the ICNP; correct name",772495,"https://lpsn.dsmz.de/species/acetobacter-estunensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","fabarum",NA,"985; DSM 19596; LMG 24244; R-36330","VP; sp. nov.; validly published under the ICNP; correct name",786649,"https://lpsn.dsmz.de/species/acetobacter-fabarum","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","fallax",NA,"LMG 1636; NCIMB 8956","VP; sp. nov.; validly published under the ICNP; correct name",14544,"https://lpsn.dsmz.de/species/acetobacter-fallax","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","farinalis",NA,"BCC 44845; G360-1; NBRC 107750; PCU 319","VL; sp. nov.; validly published under the ICNP; correct name",789468,"https://lpsn.dsmz.de/species/acetobacter-farinalis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","garciniae",NA,"LMG 32243; MS16-SU-2; TBRC 12339","VP; sp. nov.; validly published under the ICNP; correct name",19470,"https://lpsn.dsmz.de/species/acetobacter-garciniae","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","ghanensis",NA,"430A; DSM 18895; LMG 23848; R-29337","VP; sp. nov.; validly published under the ICNP; correct name",785827,"https://lpsn.dsmz.de/species/acetobacter-ghanensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","indonesiensis",NA,"5H-1; DSM 15552; IFO 16471; JCM 10948; LMG 19824; NBRC 16471; NRIC 313","VL; sp. nov.; validly published under the ICNP; correct name",772498,"https://lpsn.dsmz.de/species/acetobacter-indonesiensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","lambici",NA,"DSM 27328; LMG 27439","VP; sp. nov.; validly published under the ICNP; correct name",791710,"https://lpsn.dsmz.de/species/acetobacter-lambici","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","lovaniensis",NA,"ATCC 12875; DSM 4491; DSM 46218; IFO 13753; LMG 1579; LMG 1617; NBRC 13753; NCIB 8620; NCIMB 8620","VL; comb. nov.; validly published under the ICNP; correct name",772502,"https://lpsn.dsmz.de/species/acetobacter-lovaniensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
