"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Chroococcus","irregularis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49733","https://lpsn.dsmz.de/species/chroococcus-irregularis"
"Chroococcus","julianus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54165","https://lpsn.dsmz.de/species/chroococcus-julianus"
"Chroococcus","kerguelensis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51947","https://lpsn.dsmz.de/species/chroococcus-kerguelensis"
"Chroococcus","limneticus","carneus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","55626","https://lpsn.dsmz.de/variety/chroococcus-limneticus-carneus"
"Chroococcus","limneticus","elegans",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56267","https://lpsn.dsmz.de/variety/chroococcus-limneticus-elegans"
"Chroococcus","limneticus","fuscus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","55620","https://lpsn.dsmz.de/variety/chroococcus-limneticus-fuscus"
"Chroococcus","limneticus","multicellularis",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","51364","https://lpsn.dsmz.de/variety/chroococcus-limneticus-multicellularis"
"Chroococcus","limneticus","subsalsus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56301","https://lpsn.dsmz.de/variety/chroococcus-limneticus-subsalsus"
"Chroococcus","lithophilus","achromatica",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","50037","https://lpsn.dsmz.de/form/chroococcus-lithophilus-achromatica"
"Chroococcus","lithophilus","colorata",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","55978","https://lpsn.dsmz.de/form/chroococcus-lithophilus-colorata"
"Chroococcus","lithophilus","rotae",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","48891","https://lpsn.dsmz.de/variety/chroococcus-lithophilus-rotae"
"Chroococcus","macrococcus","aquatica",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","52092","https://lpsn.dsmz.de/variety/chroococcus-macrococcus-aquatica"
"Chroococcus","macrococcus","aureus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","54155","https://lpsn.dsmz.de/variety/chroococcus-macrococcus-aureus"
"Chroococcus","macrococcus","salinarum",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","40439","https://lpsn.dsmz.de/variety/chroococcus-macrococcus-salinarum"
"Chroococcus","macrococcus","stipitata",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","56004","https://lpsn.dsmz.de/form/chroococcus-macrococcus-stipitata"
"Chroococcus","major",NA,"BRNM HY1327; Figure 22","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33533","https://lpsn.dsmz.de/species/chroococcus-major"
"Chroococcus","mediocris",NA,"831 h","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","31952","https://lpsn.dsmz.de/species/chroococcus-mediocris"
"Chroococcus","membraninus","crassior",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","9306","https://lpsn.dsmz.de/variety/chroococcus-membraninus-crassior"
"Chroococcus","membraninus","salina",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50057","https://lpsn.dsmz.de/variety/chroococcus-membraninus-salina"
"Chroococcus","minimus","crassa","Figure 1,a","Variety; new variety; validly published under the ICN (Botanical Code); correct name","54937","https://lpsn.dsmz.de/variety/chroococcus-minimus-crassa"
"Chroococcus","minimus","turfosus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56276","https://lpsn.dsmz.de/variety/chroococcus-minimus-turfosus"
"Chroococcus","minor","atrioviolaceus",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","53684","https://lpsn.dsmz.de/form/chroococcus-minor-atrioviolaceus"
"Chroococcus","minor","glomerata","no figure","Form; new form; validly published under the ICN (Botanical Code); correct name","55959","https://lpsn.dsmz.de/form/chroococcus-minor-glomerata"
"Chroococcus","minor","major",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","56570","https://lpsn.dsmz.de/form/chroococcus-minor-major"
"Chroococcus","minor","minima","PI. XVI. fig. 18.","Form; new form; validly published under the ICN (Botanical Code); correct name","50121","https://lpsn.dsmz.de/form/chroococcus-minor-minima"
"Chroococcus","minor","mucosa",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","53987","https://lpsn.dsmz.de/form/chroococcus-minor-mucosa"
"Chroococcus","minor","violacea",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","55991","https://lpsn.dsmz.de/form/chroococcus-minor-violacea"
"Chroococcus","minutissimus",NA,"1458 b","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","31953","https://lpsn.dsmz.de/species/chroococcus-minutissimus"
"Chroococcus","minutus","fuscus","84","Variety; new variety; validly published under the ICN (Botanical Code); correct name","48901","https://lpsn.dsmz.de/variety/chroococcus-minutus-fuscus"
"Chroococcus","minutus","salinus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","52093","https://lpsn.dsmz.de/variety/chroococcus-minutus-salinus"
"Chroococcus","minutus","thermalis","126","Variety; new variety; validly published under the ICN (Botanical Code); correct name","48902","https://lpsn.dsmz.de/variety/chroococcus-minutus-thermalis"
"Chroococcus","minutus","typica",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","50437","https://lpsn.dsmz.de/form/chroococcus-minutus-typica"
"Chroococcus","minutus","virescens",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","52308","https://lpsn.dsmz.de/variety/chroococcus-minutus-virescens"
"Chroococcus","mipitanensis",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","44035","https://lpsn.dsmz.de/species/chroococcus-mipitanensis"
"Chroococcus","molischii",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51374","https://lpsn.dsmz.de/species/chroococcus-molischii"
"Chroococcus","montanus","hyalina","Figure 1,g","Variety; new variety; validly published under the ICN (Botanical Code); correct name","52003","https://lpsn.dsmz.de/variety/chroococcus-montanus-hyalina"
"Chroococcus","mougeotiae",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","46778","https://lpsn.dsmz.de/species/chroococcus-mougeotiae"
"Chroococcus","multicoloratus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","53818","https://lpsn.dsmz.de/species/chroococcus-multicoloratus"
"Chroococcus","muralis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","31954","https://lpsn.dsmz.de/species/chroococcus-muralis"
"Chroococcus","mutisii",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","48772","https://lpsn.dsmz.de/species/chroococcus-mutisii"
"Chroococcus","nanoplankticus",NA,"SP 355746","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","38319","https://lpsn.dsmz.de/species/chroococcus-nanoplankticus"
"Chroococcus","occidentalis",NA,"849 b","Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","35265","https://lpsn.dsmz.de/species/chroococcus-occidentalis"
"Chroococcus","pallidus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","54244","https://lpsn.dsmz.de/species/chroococcus-pallidus"
"Chroococcus","planctonicus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49558","https://lpsn.dsmz.de/species/chroococcus-planctonicus"
"Chroococcus","polyedriformis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","47289","https://lpsn.dsmz.de/species/chroococcus-polyedriformis"
"Chroococcus","prescottii",NA,"Figure 2 in Plate I","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49147","https://lpsn.dsmz.de/species/chroococcus-prescottii"
"Chroococcus","pulcherrimus",NA,"Tabula nostra I, III","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","44129","https://lpsn.dsmz.de/species/chroococcus-pulcherrimus"
"Chroococcus","purpureus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","47279","https://lpsn.dsmz.de/species/chroococcus-purpureus"
"Chroococcus","pyriformis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51031","https://lpsn.dsmz.de/species/chroococcus-pyriformis"
"Chroococcus","quaternarius",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49770","https://lpsn.dsmz.de/species/chroococcus-quaternarius"
"Chroococcus","rechingeri",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","50390","https://lpsn.dsmz.de/species/chroococcus-rechingeri"
"Chroococcus","refractus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","53817","https://lpsn.dsmz.de/species/chroococcus-refractus"
"Chroococcus","roseus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","49884","https://lpsn.dsmz.de/species/chroococcus-roseus"
"Chroococcus","rubiginosus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","53984","https://lpsn.dsmz.de/species/chroococcus-rubiginosus"
"Chroococcus","rubrapunctus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","53822","https://lpsn.dsmz.de/species/chroococcus-rubrapunctus"
"Chroococcus","rufescens",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","8096","https://lpsn.dsmz.de/species/chroococcus-rufescens"
"Chroococcus","sabulosus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54850","https://lpsn.dsmz.de/species/chroococcus-sabulosus"
"Chroococcus","scherffelianus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49745","https://lpsn.dsmz.de/species/chroococcus-scherffelianus"
"Chroococcus","schizodermaticus","badiopurpureus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","51592","https://lpsn.dsmz.de/variety/chroococcus-schizodermaticus-badiopurpureus"
"Chroococcus","schizodermaticus","incoloratus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","54796","https://lpsn.dsmz.de/variety/chroococcus-schizodermaticus-incoloratus"
"Chroococcus","schizodermaticus","minor","Figure 2 in Plate 1","Form; new form; validly published under the ICN (Botanical Code); correct name","55850","https://lpsn.dsmz.de/form/chroococcus-schizodermaticus-minor"
"Chroococcus","schizodermaticus","pallida",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","50036","https://lpsn.dsmz.de/form/chroococcus-schizodermaticus-pallida"
"Chroococcus","schizodermaticus","paucistriatosus",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","55937","https://lpsn.dsmz.de/form/chroococcus-schizodermaticus-paucistriatosus"
"Chroococcus","siderochlamys",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","43400","https://lpsn.dsmz.de/species/chroococcus-siderochlamys"
"Chroococcus","simmeri",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","50614","https://lpsn.dsmz.de/species/chroococcus-simmeri"
