"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Streptococcus","hominis",NA,"CGMCC 1.32470; KCTC 15949; NSJ 17","VL; sp. nov.; validly published under the ICNP; correct name",28913,"https://lpsn.dsmz.de/species/streptococcus-hominis"
"Streptococcus","hongkongensis",NA,"CECT 8154; DSM 26014; HKU30","VP; sp. nov.; validly published under the ICNP; correct name",790926,"https://lpsn.dsmz.de/species/streptococcus-hongkongensis"
"Streptococcus","humanilactis",NA,"CCUG 77534; GDMCC 1.1876; IMAU 99125; KCTC 21157","VL; sp. nov.; validly published under the ICNP; correct name",53930,"https://lpsn.dsmz.de/species/streptococcus-humanilactis"
"Streptococcus","hyointestinalis",NA,"ATCC 49169; CCUG 27888; CIP 103372; DSM 20770; LMG 14579; NCTC 12224; S93","VP; sp. nov.; validly published under the ICNP; correct name",781347,"https://lpsn.dsmz.de/species/streptococcus-hyointestinalis"
"Streptococcus","hyovaginalis",NA,"ATCC 700866; CCUG 37866; CIP 105517; DSM 12219; LMG 14710; NCTC 14634; SHV515","VP; sp. nov.; validly published under the ICNP; correct name",781348,"https://lpsn.dsmz.de/species/streptococcus-hyovaginalis"
"Streptococcus","ictaluri",NA,"707-05; ATCC BAA-1300; CCUG 52536; DSM 21677; NCTC 14687; S02-1108","VP; sp. nov.; validly published under the ICNP; correct name",786503,"https://lpsn.dsmz.de/species/streptococcus-ictaluri"
"Streptococcus","ilei",NA,"I-G2; JCM 18185; KACC 16621","VL; sp. nov.; validly published under the ICNP; correct name",26593,"https://lpsn.dsmz.de/species/streptococcus-ilei"
"Streptococcus","iners","hyiners","29892; NCTC 14940; NRRL B-65676","VP; subsp. nov.; validly published under the ICNP; correct name",56846,"https://lpsn.dsmz.de/subspecies/streptococcus-iners-hyiners"
"Streptococcus","iners","iners","29887; NCTC 14939; NRRL B-65675","VP; subsp. nov.; validly published under the ICNP; correct name",57903,"https://lpsn.dsmz.de/subspecies/streptococcus-iners-iners"
"Streptococcus","infantarius","coli","CCUG 43822; CCUG 47831; CCUG 48464; DSM 22957; HDP 90246; NCDO 964; NCIMB 700964","VP; subsp. nov.; validly published under the ICNP; correct name",784983,"https://lpsn.dsmz.de/subspecies/streptococcus-infantarius-coli"
