#OTU	ID	taxonomy
92	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;multilocale
93	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;oculi
94	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;palmae
95	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;parvum
96	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;pleciae
97	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;vituli
98	1.0	Pseudomonadota;Gammaproteobacteria;Beggiatoales;Achromatiaceae;Achromatium;oxaliferum
99	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aegrifaciens
100	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aestuarii
101	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;agilis
102	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aloeverae
103	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;animicus
104	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;anxifer
105	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;deleyi
106	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;denitrificans
107	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;dolens
108	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;insolitus
109	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;insuavis
110	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;kerstersii
111	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;marplatensis
112	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;mucicolens
113	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;pestifer
114	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;piechaudii
115	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;pulmonis
116	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;ruhlandii
117	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;seleniivolatilans
118	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;spanius
119	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;veterisilvae
120	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans
121	1.0	Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Acidaminobacter;hydrogenoformans
122	1.0	Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;fermentans
123	1.0	Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;hominis
124	1.0	Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;intestini
125	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;ambivalens
